Replicate,UC1_AssignedTextUC,UC2_AssignedTextUC,UC3_AssignedTextUC,UC4_AssignedTextUC,UC5_AssignedTextUC,UC6_AssignedTextUC,UC7_AssignedTextUC,UC8_AssignedTextUC,UC9_AssignedTextUC,UC10_AssignedTextUC,UC11_AssignedTextUC,UC12_AssignedTextUC,UC13_AssignedTextUC,UC14_AssignedTextUC,UC15_AssignedTextUC,UC16_AssignedTextUC,UC17_AssignedTextUC,UC18_AssignedTextUC,UC19_AssignedTextUC,UC20_AssignedTextUC,UC21_AssignedTextUC
306,14,8,17,6,7,20,19,4,16,5,10,9,11,18,2,1,15,3,12,13,21
307,10,15,18,17,3,8,4,20,11,2,14,13,6,5,16,7,21,9,12,1,19
308,7,6,15,5,16,2,19,10,8,21,1,4,9,3,17,12,20,13,14,11,18
309,7,20,14,6,12,19,10,15,21,18,17,8,2,9,5,13,1,3,4,16,11
310,19,6,14,21,10,13,2,9,7,16,8,11,3,15,17,12,4,1,18,5,20
311,8,12,13,3,6,17,15,4,11,16,19,20,21,10,5,9,1,14,7,2,18
312,18,4,5,17,20,10,19,7,13,6,21,15,1,8,11,3,2,9,14,16,12
313,4,11,18,3,15,7,20,16,2,13,5,9,17,14,19,12,6,8,21,1,10
314,3,12,9,14,7,5,6,20,19,2,4,16,18,1,10,17,13,8,11,21,15
315,18,12,8,20,7,17,16,19,6,10,13,14,11,1,9,15,5,3,4,2,21
316,5,14,11,16,1,15,18,9,17,7,12,8,2,6,21,3,4,13,19,20,10
317,18,15,5,7,16,2,8,20,19,9,21,14,1,13,17,12,11,6,10,4,3
318,21,16,9,18,19,3,20,1,4,10,11,14,7,15,12,13,2,5,6,8,17
319,10,5,20,4,21,7,17,13,9,15,8,6,11,3,12,19,14,16,2,1,18
320,8,16,5,21,14,17,2,9,6,11,19,20,4,3,13,10,1,12,18,15,7
321,3,14,17,18,9,19,20,4,2,5,15,11,6,8,10,16,21,13,12,7,1
322,14,18,6,8,16,11,7,5,21,20,4,9,1,10,15,12,19,13,2,3,17
323,14,9,20,6,4,1,21,11,7,18,19,13,8,12,16,3,2,17,15,5,10
324,17,14,10,1,13,9,6,16,12,2,19,11,3,20,8,7,18,5,21,4,15
325,21,1,4,3,13,12,5,19,16,18,2,6,11,14,10,7,9,17,8,20,15
326,5,2,18,21,3,7,10,12,11,19,4,6,16,17,13,1,14,20,8,9,15
327,1,20,6,13,14,19,2,5,17,3,8,12,7,9,15,18,21,10,11,4,16
328,16,4,10,1,14,7,5,20,11,6,2,21,12,9,3,13,18,15,17,19,8
329,2,5,14,9,6,15,1,20,13,7,10,21,8,17,16,4,11,18,19,3,12
330,15,17,14,3,11,12,9,1,4,18,7,2,8,5,13,10,19,16,20,6,21
331,1,7,20,13,4,17,8,2,3,18,16,10,11,9,6,14,19,12,15,5,21
332,1,19,11,5,13,3,10,12,21,16,17,14,4,7,20,8,2,15,18,6,9
333,15,1,2,18,14,6,19,5,3,9,11,12,21,7,20,4,10,17,13,8,16
334,8,5,21,11,14,17,13,18,6,4,3,15,7,2,16,19,20,12,1,9,10
335,8,17,16,12,5,7,14,6,10,3,20,13,1,18,2,4,21,19,15,11,9
336,11,15,18,12,13,16,19,5,20,17,4,9,1,3,10,2,7,8,14,21,6
337,20,3,12,18,11,10,1,19,14,9,7,5,2,15,21,13,17,6,8,16,4
338,12,14,21,5,18,20,19,10,8,1,9,3,16,15,13,7,11,17,4,6,2
339,7,8,11,21,12,4,14,19,15,3,16,9,20,1,13,10,5,6,2,18,17
340,12,7,4,11,20,3,9,8,14,19,16,1,5,2,6,13,21,17,15,10,18
341,9,1,21,11,18,15,10,19,7,20,12,14,16,6,17,13,5,2,3,8,4
342,16,5,14,11,3,7,6,12,15,18,17,13,2,21,20,9,1,19,4,8,10
343,13,7,11,5,14,8,18,10,19,3,6,16,12,9,1,17,2,20,21,15,4
344,6,5,15,7,3,11,18,9,20,2,1,14,10,13,12,21,8,4,17,19,16
345,11,17,7,21,19,6,2,1,12,5,10,13,14,8,16,15,3,18,20,9,4
346,3,17,7,10,4,8,15,5,20,9,16,12,13,18,21,6,14,2,11,1,19
347,9,14,5,16,20,10,12,2,15,13,4,11,19,8,6,18,17,3,1,7,21
348,9,2,5,15,8,3,21,12,19,6,16,20,14,17,13,7,4,1,18,10,11
349,15,1,13,9,16,4,11,10,7,17,21,14,12,20,3,19,8,6,2,18,5
350,8,14,12,2,19,4,6,21,20,9,16,7,3,18,11,1,13,10,17,5,15
351,15,3,8,21,19,4,16,14,13,11,6,18,12,1,10,9,7,20,5,2,17
352,6,5,21,14,4,8,20,18,2,15,1,9,13,16,10,3,17,11,19,7,12
353,4,8,14,9,10,15,7,1,18,20,11,21,17,2,3,5,13,16,6,12,19
354,18,2,21,19,3,13,12,10,15,16,8,17,1,14,4,11,9,20,6,5,7
355,17,6,2,21,11,4,9,1,15,19,16,13,18,10,5,3,7,20,14,12,8
356,11,17,8,14,1,7,19,12,13,3,5,4,18,21,2,9,6,20,16,10,15
357,5,14,20,8,19,7,11,4,9,12,16,21,10,15,6,1,3,18,13,17,2
358,21,9,3,1,13,15,17,8,6,4,20,19,7,5,14,16,18,2,12,11,10
359,16,6,20,10,21,17,14,8,15,1,12,18,5,13,11,4,19,9,2,7,3
360,3,8,14,7,12,2,16,5,20,17,21,18,11,15,9,10,19,1,6,13,4
361,8,14,15,5,10,11,1,7,17,18,4,21,12,3,20,13,9,16,19,6,2
362,10,7,17,16,3,21,20,1,14,18,13,19,6,12,5,8,4,11,9,15,2
363,15,21,19,13,1,16,14,5,9,4,7,11,17,18,8,20,6,10,3,12,2
364,11,1,17,5,21,3,13,2,7,16,9,15,4,14,10,18,12,8,19,20,6
365,18,13,21,1,20,16,15,17,5,19,7,11,9,4,3,14,12,6,2,8,10
366,15,6,17,3,8,9,1,16,19,21,11,5,13,12,2,4,10,20,7,18,14
367,5,19,15,13,6,2,7,17,12,9,18,20,8,14,16,21,1,10,3,4,11
368,16,10,13,21,5,2,11,1,4,14,12,7,15,18,3,9,19,8,17,6,20
369,13,16,3,20,1,12,19,17,21,8,11,2,10,18,14,6,5,7,15,4,9
370,8,10,7,15,1,18,2,6,12,20,11,3,21,17,13,14,9,16,5,4,19
371,10,13,18,17,5,7,1,12,4,6,15,20,8,14,9,3,2,21,11,16,19
372,14,9,17,21,16,8,12,10,11,20,13,3,2,4,6,1,5,7,19,15,18
373,16,8,12,3,19,9,21,11,15,6,5,14,4,13,2,17,18,7,10,1,20
374,21,11,1,8,12,15,9,5,3,7,6,14,4,20,19,13,16,17,10,2,18
375,13,5,17,7,1,10,9,8,16,11,20,2,12,4,21,15,6,18,19,3,14
376,4,3,18,15,12,5,8,1,6,13,21,14,11,16,19,9,7,20,17,2,10
377,9,2,15,6,5,21,8,7,3,13,12,10,18,17,4,1,11,16,19,14,20
378,14,6,5,16,12,17,1,20,13,19,4,21,18,9,10,8,3,11,15,7,2
379,14,10,18,17,5,13,15,2,11,21,7,12,3,19,4,1,20,8,9,6,16
380,15,3,21,7,9,10,2,16,20,14,4,13,11,5,12,8,6,18,17,1,19
381,1,15,16,20,11,4,5,8,10,2,19,13,12,14,17,18,7,6,21,9,3
382,16,3,8,13,6,1,2,15,4,7,14,19,11,21,18,9,20,10,17,12,5
383,14,4,13,12,19,5,20,2,8,17,10,18,1,15,7,6,11,3,21,16,9
384,7,18,2,15,9,19,1,3,12,14,13,17,5,20,11,21,10,16,4,6,8
385,13,5,7,8,19,18,15,12,10,21,6,1,9,20,11,4,14,17,3,2,16
386,4,16,5,12,1,7,18,13,21,14,2,6,9,10,11,15,3,8,19,17,20
387,10,13,2,18,16,8,5,3,14,4,12,11,15,21,6,1,7,19,9,17,20
388,18,2,15,8,3,13,6,10,7,4,1,9,16,19,14,12,20,11,21,17,5
389,1,4,3,18,20,6,7,21,13,11,15,14,9,17,5,16,12,2,10,8,19
390,19,20,15,6,9,13,11,8,5,21,4,14,12,17,3,18,10,16,7,2,1
391,16,8,14,1,21,7,6,15,11,17,5,18,20,10,13,4,12,9,19,2,3
392,16,17,14,13,9,15,21,20,19,18,8,11,5,6,12,1,2,3,10,4,7
393,9,3,15,10,16,12,19,20,18,7,2,13,14,17,8,21,11,4,1,5,6
394,6,19,2,3,15,7,21,5,20,17,12,18,16,1,8,11,10,4,14,9,13
395,11,21,2,4,14,6,9,13,3,17,16,15,12,1,5,7,8,18,10,19,20
396,12,11,18,19,20,13,2,14,10,15,16,8,1,3,9,17,4,21,7,6,5
397,8,3,11,15,19,17,7,5,13,2,9,21,18,6,16,12,4,10,20,14,1
398,21,7,14,3,4,6,16,18,17,1,13,2,11,10,8,19,15,9,5,12,20
399,14,19,5,3,9,13,16,8,1,17,4,18,2,21,20,6,11,7,12,10,15
400,7,3,16,4,17,13,8,9,2,15,21,12,6,19,18,11,5,14,1,20,10
401,16,19,3,17,11,12,2,15,20,6,9,7,14,5,1,18,21,8,4,13,10
402,5,20,13,12,6,16,1,9,10,14,2,15,4,19,7,3,11,21,17,8,18
403,9,15,19,13,14,12,5,20,18,3,10,7,17,21,4,1,11,8,2,6,16
404,8,6,17,13,20,4,15,7,11,5,14,9,10,18,16,3,2,12,21,19,1
405,7,15,13,1,4,17,3,14,10,20,6,18,16,11,12,8,5,21,9,19,2
406,2,7,17,19,11,4,21,20,8,12,16,9,3,15,10,6,14,5,18,13,1
407,10,6,18,8,11,7,14,21,1,3,13,20,12,17,4,9,16,2,19,5,15
408,8,20,10,14,11,12,2,17,18,4,7,15,13,21,19,1,9,3,6,5,16
409,12,10,1,9,20,21,5,18,14,6,4,13,8,2,7,15,16,17,19,11,3
410,10,1,13,6,4,21,16,5,9,7,19,14,2,18,20,15,17,12,3,11,8
411,6,7,9,20,12,10,8,1,3,13,18,16,17,4,14,5,11,21,15,19,2
412,1,16,4,3,18,13,11,8,21,9,2,12,7,15,17,5,20,10,6,14,19
413,17,1,8,13,18,15,9,20,4,5,11,21,7,12,10,2,14,16,6,3,19
414,7,19,18,1,9,16,12,21,15,10,3,13,4,2,20,14,8,11,5,6,17
415,10,14,20,1,15,3,2,4,18,19,17,13,21,9,16,12,7,6,11,5,8
416,9,7,16,12,3,21,13,15,17,2,5,8,20,18,14,19,4,1,10,11,6
417,21,20,17,19,14,5,1,10,11,12,13,3,9,7,18,4,8,6,16,15,2
418,5,11,9,10,20,17,8,21,7,13,18,6,19,3,12,1,4,2,14,16,15
419,15,1,6,17,19,18,4,8,2,3,11,16,20,9,7,12,5,13,10,14,21
420,12,6,13,1,7,20,19,16,2,18,4,5,9,10,11,17,21,15,8,14,3
421,10,11,15,20,21,18,12,7,1,6,17,16,19,9,2,14,4,3,5,13,8
422,6,20,7,9,15,21,19,10,3,16,12,18,14,4,2,13,8,11,17,5,1
423,3,4,17,8,18,10,12,5,9,2,1,20,7,19,16,13,11,15,14,6,21
424,18,3,14,15,20,12,11,10,6,5,9,19,17,7,21,8,1,16,13,2,4
425,2,11,18,7,10,19,9,12,16,1,14,17,20,6,21,4,5,8,3,15,13
426,7,16,5,4,19,10,13,2,20,1,15,9,3,17,11,18,14,8,6,12,21
427,11,9,17,10,14,19,13,5,12,3,1,18,4,16,21,20,7,8,15,2,6
428,10,14,21,12,5,2,19,16,11,20,6,9,3,7,4,8,15,1,17,18,13
429,19,16,17,6,3,4,2,14,12,21,18,13,5,20,1,9,10,8,15,7,11
430,18,16,12,10,4,9,20,2,21,6,7,3,17,11,14,5,1,19,15,8,13
431,1,10,7,2,13,11,19,21,4,8,15,20,18,17,3,6,9,12,16,14,5
432,21,10,20,6,5,9,8,15,13,16,17,4,2,7,18,19,11,12,3,1,14
433,9,18,6,21,1,8,20,14,17,13,12,10,3,7,2,15,11,16,4,19,5
434,15,4,17,18,20,16,6,10,5,19,9,12,14,21,8,2,13,1,7,3,11
435,17,5,21,1,6,15,3,11,9,10,19,12,18,13,8,7,16,4,2,14,20
436,15,6,3,17,7,19,8,5,2,18,14,21,10,11,16,9,4,20,13,1,12
437,4,8,12,15,7,16,19,20,21,14,1,13,17,9,5,11,2,3,10,6,18
438,10,6,12,20,8,14,4,7,21,13,5,2,17,18,19,16,11,3,15,9,1
439,21,4,3,16,15,2,11,13,9,14,5,8,7,1,17,6,12,20,19,10,18
440,16,4,12,2,7,15,6,18,10,9,11,13,17,5,20,8,1,19,14,21,3
441,18,3,9,4,14,2,8,17,16,21,12,11,7,5,20,1,13,19,15,10,6
442,18,14,9,7,4,13,1,3,15,8,21,5,17,12,11,19,16,20,6,10,2
443,11,2,13,7,16,12,20,15,4,21,8,6,3,10,18,9,5,19,17,14,1
444,6,20,5,8,13,21,17,15,1,2,10,14,11,9,12,3,4,18,7,19,16
445,16,10,11,17,7,4,2,12,6,5,1,19,15,3,9,13,18,14,21,20,8
446,6,5,13,2,18,16,15,21,4,10,1,19,12,3,20,8,11,7,9,14,17
447,5,2,8,14,7,3,11,6,1,9,19,18,10,13,16,15,17,4,12,20,21
448,2,18,9,15,3,1,8,13,4,19,20,17,16,6,11,12,10,21,14,5,7
449,21,8,9,20,1,13,2,17,19,15,18,12,16,3,6,14,5,11,7,4,10
450,3,18,10,15,13,4,1,7,8,12,11,6,14,21,2,9,20,19,17,16,5
451,2,7,17,6,4,12,5,9,21,8,13,3,10,1,19,16,20,14,11,18,15
452,21,16,19,12,5,17,6,1,9,2,18,14,15,8,13,11,7,4,3,20,10
453,11,14,1,2,6,4,5,16,15,20,19,9,12,8,21,13,17,3,7,18,10
454,2,7,13,19,14,15,21,8,17,4,9,3,18,10,16,6,11,5,1,12,20
455,3,12,19,7,6,8,17,20,16,11,9,14,5,13,15,10,4,18,1,2,21
456,10,4,9,11,18,12,21,7,19,17,6,3,15,8,14,13,2,16,20,1,5
457,15,2,17,16,13,9,4,21,19,3,5,6,20,7,10,14,8,12,1,18,11
458,19,13,21,2,6,3,9,18,7,5,11,20,12,16,4,15,17,14,8,10,1
459,4,21,10,15,2,13,8,14,11,20,19,6,1,16,3,12,7,17,5,9,18
460,2,3,12,18,11,15,16,13,9,7,17,10,14,21,1,4,6,8,19,20,5
461,11,16,13,19,7,20,2,3,14,15,12,10,5,1,4,21,8,17,9,6,18
462,20,6,5,18,16,1,15,10,3,11,9,4,12,19,7,8,21,17,13,14,2
463,18,8,10,16,1,9,19,7,5,11,4,15,20,6,14,3,13,2,21,12,17
464,16,2,8,5,10,7,18,11,20,12,3,19,13,9,15,4,21,6,17,1,14
465,4,12,5,17,2,3,11,15,21,1,7,9,20,19,16,10,6,13,18,8,14
466,15,7,17,20,18,19,8,9,6,14,5,16,10,3,1,11,12,2,13,4,21
467,10,14,3,8,13,15,21,16,9,4,7,5,6,18,19,11,17,20,1,12,2
468,12,9,20,4,10,7,18,5,8,16,15,14,2,19,11,21,6,13,1,17,3
469,3,10,6,12,5,7,8,14,2,1,19,17,9,16,21,18,13,11,4,15,20
470,4,19,14,10,1,17,20,12,18,8,15,16,6,5,9,13,7,21,2,11,3
471,6,17,18,5,12,16,13,14,19,15,3,9,2,4,11,1,21,7,10,20,8
472,8,5,16,21,11,7,20,19,15,6,9,2,17,10,14,13,4,18,3,1,12
473,6,21,14,15,11,1,8,19,12,3,16,9,2,7,13,20,10,5,4,18,17
474,10,17,16,2,11,15,21,4,1,6,19,20,3,12,14,9,18,13,8,5,7
475,2,1,11,16,3,21,5,9,13,19,15,7,17,14,20,18,4,6,10,8,12
476,12,10,20,7,14,1,6,11,21,3,17,15,18,9,19,5,8,4,16,13,2
477,9,15,4,6,2,12,3,8,21,5,18,13,10,19,17,20,14,7,16,11,1
478,11,9,13,12,14,17,2,3,4,19,16,5,21,6,1,20,15,10,18,8,7
479,5,4,10,7,17,16,19,21,18,8,1,14,2,15,12,9,13,6,3,20,11
480,21,10,4,15,12,17,13,2,11,20,3,16,1,14,5,8,9,19,7,18,6
481,11,18,16,9,8,14,1,4,21,7,13,20,2,17,12,19,10,3,6,15,5
482,12,10,18,9,20,6,21,13,5,7,14,11,3,19,16,1,4,8,17,15,2
483,10,17,4,14,19,13,11,18,20,1,6,15,5,12,2,16,3,8,7,9,21
484,6,5,14,21,20,16,4,12,18,19,2,15,17,1,7,3,13,9,8,10,11
485,18,11,8,4,20,5,21,16,19,15,13,1,9,10,12,3,2,14,7,6,17
486,21,19,10,3,16,12,8,1,6,20,4,14,5,9,11,7,18,13,2,15,17
487,10,2,4,7,16,20,5,21,3,19,13,18,8,1,9,6,11,12,14,17,15
488,12,6,21,5,3,17,1,15,2,4,19,13,20,8,14,16,9,18,11,7,10
489,7,3,16,18,9,17,1,5,21,15,14,4,2,10,11,20,13,6,8,12,19
490,4,16,17,3,13,12,6,19,14,11,15,10,7,21,20,1,18,8,9,2,5
491,10,9,17,15,8,12,13,16,4,19,1,11,18,5,2,14,20,21,3,6,7
492,13,2,14,9,1,7,18,4,10,12,17,8,19,3,21,20,6,16,5,15,11
493,4,15,9,7,21,6,10,8,5,2,18,19,1,3,12,16,14,13,11,20,17
494,11,21,20,18,8,4,7,10,1,19,17,3,5,15,14,2,16,9,13,6,12
495,21,17,10,19,3,16,4,13,1,7,9,15,11,2,20,12,8,18,5,6,14
496,12,2,6,4,20,16,8,21,18,17,10,14,13,9,19,15,3,11,5,7,1
497,14,11,16,6,2,20,9,13,12,3,19,18,7,17,15,1,8,21,4,10,5
498,13,14,3,17,11,16,19,9,21,6,7,4,2,1,10,12,15,8,5,18,20
499,9,1,16,10,8,2,5,3,17,19,12,6,20,21,14,15,4,18,7,11,13
500,2,7,5,3,8,12,9,11,14,4,16,21,13,10,18,1,6,19,17,15,20
501,18,1,4,21,8,5,9,6,10,12,16,7,2,3,19,11,17,20,14,13,15
502,12,2,1,19,13,17,7,20,18,8,11,10,3,4,6,21,5,14,9,16,15
503,3,5,17,7,1,11,14,4,12,19,2,16,8,6,10,15,9,21,13,18,20
504,10,14,8,9,12,21,15,6,1,2,19,16,7,3,4,18,17,11,13,20,5
505,4,13,20,14,19,10,21,12,11,18,3,1,16,17,6,15,2,5,7,9,8
506,13,18,8,11,1,12,4,15,17,14,2,5,20,19,3,10,6,21,16,9,7
507,6,19,15,8,9,11,2,7,4,12,18,1,14,10,20,5,17,21,13,3,16
508,12,18,7,6,16,21,9,20,8,1,4,14,11,13,15,3,2,19,5,17,10
509,19,8,5,1,13,18,16,11,7,2,14,6,15,20,12,9,10,21,3,17,4
510,6,3,9,4,21,7,2,15,16,14,18,12,8,19,17,10,13,20,11,5,1
511,19,14,21,16,2,1,13,6,9,15,5,4,12,11,17,10,20,7,18,3,8
512,5,9,21,4,7,15,17,2,19,6,18,16,8,10,3,1,13,14,20,11,12
513,5,4,21,16,14,20,8,18,10,11,7,3,2,9,15,12,17,19,1,13,6
514,1,17,12,3,16,8,21,11,20,13,6,19,4,5,14,10,18,9,15,2,7
515,14,9,5,18,2,6,21,19,15,3,10,12,17,1,4,7,11,8,20,16,13
516,18,7,2,17,8,21,6,5,13,11,12,15,16,19,9,10,1,20,14,3,4
517,3,14,12,18,15,4,20,6,10,16,2,7,11,13,9,1,19,8,21,17,5
518,11,13,7,14,20,6,8,16,12,10,2,21,18,5,1,19,3,4,9,17,15
519,15,5,20,13,2,18,11,17,10,9,4,19,7,3,21,1,8,14,12,16,6
520,1,19,18,11,16,2,14,8,9,21,4,3,6,10,5,13,12,15,7,17,20
521,16,21,5,14,9,17,2,19,11,4,3,15,20,18,6,8,1,12,13,10,7
522,15,12,16,2,5,19,14,3,13,18,1,8,7,4,20,17,10,6,11,21,9
523,6,18,9,4,13,19,11,1,10,5,20,8,12,16,7,17,2,21,15,3,14
524,12,8,1,13,19,16,10,3,20,21,6,9,5,14,4,2,15,18,7,11,17
525,12,13,6,11,19,4,16,9,7,1,5,21,3,10,2,18,17,20,8,14,15
526,21,12,17,13,3,5,7,6,18,10,8,1,9,19,11,20,16,15,14,4,2
527,7,10,12,8,3,2,4,6,16,13,18,11,9,17,5,15,21,20,14,1,19
528,5,19,11,16,3,21,4,14,10,17,15,13,12,7,9,8,6,20,18,1,2
529,6,19,13,3,21,8,14,7,1,16,2,17,12,10,20,11,18,15,4,9,5
530,15,1,21,13,5,3,9,16,11,8,4,6,20,7,14,12,2,18,10,17,19
531,14,6,1,11,19,7,16,5,17,10,9,12,13,15,4,2,8,3,18,21,20
532,13,1,2,5,4,3,20,9,10,11,6,18,15,21,12,19,7,8,17,16,14
533,6,12,17,11,14,4,7,2,20,10,5,13,9,3,15,18,19,21,8,1,16
534,11,1,13,2,16,9,5,4,20,18,10,21,14,17,6,15,12,19,8,7,3
535,16,13,19,9,20,5,1,4,3,10,6,21,18,2,12,11,15,8,14,17,7
536,9,2,18,16,11,10,15,8,21,12,14,6,19,17,5,1,13,3,4,7,20
537,10,19,6,17,21,12,14,3,2,1,8,15,5,18,9,11,20,4,16,13,7
538,14,6,11,19,20,2,16,4,5,1,8,15,9,7,21,18,12,3,17,10,13
539,6,21,14,19,2,9,1,7,3,8,18,17,11,5,15,10,16,20,12,13,4
540,20,5,2,6,16,17,3,12,8,11,19,14,15,7,10,9,18,4,13,21,1
541,10,1,7,4,15,16,3,8,13,2,6,17,12,11,9,19,5,18,21,20,14
542,1,2,13,19,10,8,21,7,16,20,12,14,15,18,9,3,11,5,6,4,17
543,4,3,19,12,14,2,5,15,7,6,17,9,10,16,18,13,1,21,11,20,8
544,16,1,4,21,15,11,6,14,12,10,8,3,9,7,13,20,18,17,5,19,2
545,10,3,5,9,2,17,19,11,4,6,18,13,12,21,20,8,1,7,16,15,14
546,2,3,14,10,17,6,1,5,15,20,16,4,21,19,8,7,12,13,18,9,11
547,11,9,21,12,13,10,19,4,15,14,6,20,17,7,16,18,3,2,8,5,1
548,13,3,1,20,15,14,11,7,9,5,10,2,12,19,4,16,6,17,18,21,8
549,10,1,18,2,8,16,3,13,14,11,19,5,6,7,9,15,17,12,4,21,20
550,8,10,15,17,7,11,3,20,5,14,1,18,12,6,16,19,13,21,4,9,2
551,20,18,15,21,3,9,14,2,12,19,13,5,11,7,4,8,6,16,17,1,10
552,1,14,5,13,11,18,4,3,12,19,2,7,17,20,21,6,9,8,15,16,10
553,3,6,19,10,15,1,11,9,5,8,14,18,4,2,17,13,20,21,16,12,7
554,12,1,9,13,15,6,2,10,8,11,7,19,16,14,20,21,18,17,3,5,4
555,6,16,19,13,18,14,7,4,12,1,15,8,17,3,10,5,20,2,9,21,11
556,3,15,9,20,14,7,4,11,8,19,5,17,2,16,13,1,10,12,18,6,21
557,7,12,2,5,16,21,3,20,13,19,18,4,1,17,11,6,10,9,14,8,15
558,9,13,1,8,7,17,4,2,6,12,19,20,18,15,14,5,11,16,10,3,21
559,12,14,17,16,15,5,1,6,2,8,19,4,21,3,18,11,10,20,13,7,9
560,19,11,5,6,21,17,7,8,18,15,13,4,10,12,9,14,3,16,1,20,2
561,20,4,17,3,9,16,21,7,11,14,18,2,19,5,10,8,1,6,13,12,15
562,1,14,12,10,11,6,2,16,9,19,7,17,5,8,13,18,20,15,3,21,4
563,19,12,14,11,9,6,3,1,4,15,2,13,8,10,20,18,7,17,16,5,21
564,17,13,21,14,16,4,6,19,18,10,8,9,15,20,5,2,12,11,3,7,1
565,11,16,5,14,8,6,4,21,19,18,7,17,12,13,9,1,2,3,15,10,20
566,3,1,12,6,18,20,14,4,2,19,9,8,21,13,5,11,7,10,17,15,16
567,4,15,20,19,3,14,12,21,7,10,5,9,13,6,1,17,2,16,18,8,11
568,19,13,12,18,7,4,10,8,5,2,11,21,1,3,9,14,20,6,17,15,16
569,11,5,19,14,20,8,7,4,2,1,6,3,9,15,21,18,16,13,10,17,12
570,19,16,12,14,10,2,6,7,21,4,8,17,9,1,3,11,18,15,13,20,5
571,7,4,13,12,19,6,17,16,1,9,21,8,5,15,11,18,2,10,3,14,20
572,14,12,15,6,8,19,16,11,13,2,20,3,7,4,21,9,1,18,17,5,10
573,8,13,2,4,16,20,5,7,18,15,14,1,9,12,10,6,3,21,19,17,11
574,7,2,5,1,10,6,20,14,21,13,19,16,12,18,17,9,11,4,15,8,3
575,20,1,14,2,7,6,18,3,15,13,9,17,21,10,5,12,8,16,4,19,11
576,9,13,15,3,1,4,18,19,20,21,10,5,6,11,7,8,16,12,17,2,14
577,11,9,15,3,1,14,5,6,18,4,21,8,20,12,19,17,7,16,10,13,2
578,12,15,4,10,2,11,20,18,17,13,3,9,1,14,7,21,8,6,5,19,16
579,15,17,19,1,13,4,16,18,5,7,6,21,12,9,10,14,3,11,8,2,20
580,8,19,1,5,3,21,16,12,20,7,2,10,6,9,11,18,4,13,17,15,14
581,15,12,17,19,9,13,18,6,11,3,5,21,4,16,7,2,20,1,8,10,14
582,1,12,8,19,7,3,2,13,17,21,6,5,14,11,15,18,16,10,9,4,20
583,14,10,18,16,13,9,8,11,12,19,17,20,2,7,15,4,3,5,6,21,1
584,8,1,3,4,16,13,20,9,18,11,15,5,10,6,14,21,2,7,17,12,19
585,4,21,20,12,11,17,18,6,14,2,19,3,9,15,10,16,1,13,5,7,8
586,18,8,3,19,16,6,4,1,2,5,20,17,7,21,11,13,9,12,15,14,10
587,3,16,20,12,17,18,6,21,2,8,7,10,11,14,9,15,1,4,13,5,19
588,5,4,1,6,12,2,13,14,8,18,21,15,7,11,19,3,20,17,16,10,9
589,6,5,8,3,7,12,1,9,19,18,17,14,2,4,20,21,15,13,16,10,11
590,17,11,20,15,2,21,19,5,6,18,10,9,8,16,1,7,13,3,12,4,14
591,16,5,9,11,10,7,13,21,1,17,12,14,8,18,6,4,2,15,19,20,3
592,5,4,3,15,12,19,21,8,2,16,11,1,6,13,14,9,20,10,18,17,7
593,14,12,7,11,5,4,15,20,6,3,13,2,21,19,1,9,8,17,10,18,16
594,8,6,9,20,19,21,3,14,11,4,15,1,17,13,16,10,2,7,12,18,5
595,13,6,11,8,21,7,1,17,9,12,2,18,20,19,15,16,5,10,14,4,3
596,15,7,19,9,12,6,1,13,20,21,17,3,14,10,8,16,2,4,18,5,11
597,14,12,6,3,15,10,4,5,1,17,18,9,21,20,8,16,2,19,7,11,13
598,3,9,15,13,19,18,6,14,8,12,17,20,4,21,16,11,1,2,10,7,5
599,7,3,9,15,4,10,8,21,6,17,14,1,18,13,19,12,20,11,2,5,16
600,18,7,13,5,2,21,6,1,14,20,3,9,16,17,4,11,15,12,8,19,10
601,3,21,15,6,2,20,1,19,13,17,18,9,5,4,8,10,12,14,7,11,16
602,8,5,10,2,14,17,4,11,12,6,15,21,13,1,20,9,19,16,3,7,18
603,18,6,7,21,9,13,2,1,5,20,11,17,3,10,8,12,19,15,4,16,14
604,9,13,15,10,20,6,17,7,3,1,2,5,12,19,18,21,11,8,4,14,16
605,1,7,6,10,12,18,13,5,3,21,8,16,20,11,4,9,17,15,19,14,2
606,3,9,21,5,6,10,11,15,8,12,19,13,2,16,4,14,18,1,20,7,17
607,10,18,6,14,7,1,8,3,20,17,2,16,5,12,15,19,13,21,11,9,4
608,12,13,3,6,1,10,20,19,7,8,18,21,5,4,11,16,15,17,2,14,9
609,4,17,10,11,3,13,12,5,15,19,9,16,14,8,1,6,2,7,18,20,21
610,2,14,11,6,3,19,13,20,15,9,1,8,4,7,16,18,12,17,5,21,10
611,18,6,1,10,13,16,3,9,15,17,20,21,19,4,11,7,14,8,5,2,12
612,7,17,12,11,4,9,18,21,19,3,8,15,10,13,14,6,1,5,16,2,20
613,1,10,12,18,11,9,7,15,13,16,8,6,17,5,3,14,4,19,21,2,20
614,16,19,4,18,9,1,10,20,2,15,11,7,12,13,5,17,3,8,14,6,21
615,15,21,12,16,19,9,11,18,20,8,2,17,5,3,1,7,14,6,10,4,13
616,13,9,15,12,7,19,4,1,18,2,3,20,17,10,5,21,11,8,16,6,14
